signName|signDates|signImage
Aquarius|January 20 - February 18|img/aquarius2.png
Aries|March 21 - April 19|img/Aries2.png
Cancer|June 21 - July 22|img/Cancer2.png
Capricorn|December 22 - January 19|img/Capricorn2.png
Gemini|May 21 - June 20|img/Gemini2.png
Leo|July 23 - August 22|img/Leo2.png
Libra|September 23 - October 22|img/Libra2.png
Pisces|February 19 - March 20|img/Pisces2.png
Sagittarius|November 22 - December 21|img/Sagittarius2.png
Scorpio|October 23 - November 21|img/Scorpio2.png
Taurus|April 20 - May 20|img/taurus2.png
Virgo|August 23 - September 22|img/Virgo2.png
